iter	MultiClass
0	2.174169741
1	2.061205496
2	1.906059589
3	1.812307421
4	1.725759374
5	1.640934051
6	1.559450447
7	1.49489752
8	1.436425066
9	1.366534389
10	1.305106874
11	1.226231992
12	1.178790484
13	1.134966802
14	1.095106972
15	1.050030023
16	1.011184952
17	0.968617526
18	0.9345348294
19	0.8964777963
20	0.8596835775
21	0.830032212
22	0.800901152
23	0.7766891455
24	0.7516579575
25	0.7251846853
26	0.7010800568
27	0.6781834488
28	0.662094873
29	0.6423823989
30	0.6230392852
31	0.6045890494
32	0.5881147176
33	0.5703579564
34	0.5572138063
35	0.5392832586
36	0.52296683
37	0.5089858597
38	0.4961208851
39	0.4840874916
40	0.4711338694
41	0.456480147
42	0.4450687031
43	0.4336636383
44	0.4234017238
45	0.4132003778
46	0.4031887972
47	0.3926267118
48	0.3836797308
49	0.3737935497
50	0.36490157
51	0.3557140209
52	0.3473523719
53	0.3408660899
54	0.3332932116
55	0.3260501171
56	0.3190965092
57	0.311824462
58	0.3041523083
59	0.2984488644
60	0.2925792748
61	0.2877460061
62	0.282197684
63	0.2763095796
64	0.2716814016
65	0.2669834772
66	0.2618920897
67	0.2568797933
68	0.2526556896
69	0.2478128011
70	0.243548245
71	0.2396086485
72	0.2359656648
73	0.2318418319
74	0.2277710761
75	0.2244432584
76	0.2209819002
77	0.2173390705
78	0.2136401948
79	0.2100167845
80	0.2071416239
81	0.2032220367
82	0.2002877885
83	0.1965899139
84	0.1935866588
85	0.1905751251
86	0.1877411558
87	0.1847986626
88	0.1815167173
89	0.1788919728
90	0.1763155253
91	0.1732026292
92	0.1706517665
93	0.1679676882
94	0.1656909911
95	0.1633031697
96	0.1607695038
97	0.1587394612
98	0.1563054573
99	0.1544728186
100	0.1521547954
101	0.1501975099
102	0.1478273659
103	0.1458590773
104	0.1441261739
105	0.1424299856
106	0.1406715769
107	0.1384992746
108	0.1368324496
109	0.1352209165
110	0.1336400995
111	0.1320751636
112	0.1302540817
113	0.1285046676
114	0.1266875694
115	0.1251171744
116	0.1237260725
117	0.1220568681
